pulseAmplitude,deltaRneg(measured at -80mV),RnegInitial,deltaRpos(measured at +80mV),RposInitial
-2.393,-9233422.556,940707223.691,-5027733.684,1113622949.542
-1.066,12987171.376,931473801.135,2016120.153,1108595215.857
1.321,399087810.065,944460972.511,468431606.063,1110611336.01
2.501,1481240152.725,1343548782.577,1777565674.845,1579042942.073
0.428,-101495929.399,2824788935.302,-59540287.649,3356608616.918
-0.918,-771873592.207,2723293005.903,-928256110.935,3297068329.268
-2.627,-983135551.599,1951419413.696,-1185208678.175,2368812218.333
0.275,35591095.238,968283862.097,5888487.271,1183603540.158
2.047,1479471103.147,1003874957.335,1776560023.818,1189492027.43
-1.825,-1488469673.873,2483346060.482,-1751479611.111,2966052051.247
0.008,29425167.769,994876386.609,1713630.347,1214572440.137
2.714,1781863309.211,1024301554.378,2129580320.707,1216286070.484
-0.363,-78295724.927,2806164863.589,-50883908.141,3345866391.19
0.608,-31201141.639,2727869138.662,-36650520.931,3294982483.049
-1.591,-1645839418.689,2696667997.023,-1972993178.949,3258331962.119
-0.153,29846519.4,1050828578.334,1749469.254,1285338783.17
1.135,284167911.199,1080675097.734,334594949.33,1287088252.424
-2.236,-388363948.306,1364843008.933,-429773882.215,1621683201.754
0.423,34548724.944,976479060.627,2994416.029,1191909319.539
2.469,1621295832.294,1011027785.571,1927898104.699,1194903735.568
-2.861,-1659468702.151,2632323617.866,-1933999172.594,3122801840.267
-0.402,33510344.557,972854915.714,3973877.569,1188802667.673
2.79,1784917285.211,1006365260.271,2102670136.078,1192776545.242
-2.408,-1817852323.394,2791282545.482,-2106693475.402,3295446681.32
0.483,35661696.095,973430222.088,5347934.448,1188753205.919
-2.484,-48227909.266,1009091918.183,-26223384.467,1194101140.367
-0.328,30032132.781,960864008.917,3749875.064,1167877755.9
1.28,424516999.705,990896141.698,496396390.251,1171627630.963
-0.638,-47541037.445,1415413141.403,-46951373.654,1668024021.214
0.155,-631196.11,1367872103.958,-1570603.951,1621072647.56
2.101,1105795269.58,1367240907.848,1310821456.779,1619502043.609
1.246,-28374158.064,2473036177.428,-25145601.82,2930323500.389
-0.246,-21871800.895,2444662019.364,-16160929.927,2905177898.569
0.491,-5075623.633,2422790218.469,-11590308.852,2889016968.641
1.719,88194652.407,2417714594.836,107474219.114,2877426659.79
-1.222,-1264132140.026,2505909247.244,-1476940734.291,2984900878.904
0.745,56397334.973,1241777107.218,38447550.311,1507960144.613
-1.997,-307560509.206,1298174442.191,-341229042.254,1546407694.925
0.198,33622050.986,990613932.985,6339737.27,1205178652.671
1.415,574396226.31,1024235983.971,679298291.601,1211518389.941
-0.137,-13650859.568,1598632210.281,-11004362.003,1890816681.541
2.646,1108840839.512,1584981350.713,1306778506.267,1879812319.538
1.744,30964169.494,2693822190.226,62124307.36,3186590825.805
2.846,175996706.669,2724786359.719,232236663.485,3248715133.165
0.931,-41287252.691,2900783066.389,-28229065.822,3480951796.65
2.363,48827298.091,2859495813.698,56923531.926,3452722730.827
2.934,100679824.997,2908323111.789,98355202.095,3509646262.753
1.107,-47891217.003,3009002936.787,-38325859.119,3608001464.849
-2.775,-1974161666.859,2961111719.784,-2359417457.666,3569675605.729
-1.355,-824834.745,986950052.925,-17004802.479,1210258148.063
1.305,499400193.589,986125218.18,565100483.561,1193253345.584
0.723,-8649594.872,1485525411.769,-5348740.171,1758353829.145
1.361,112668162.805,1476875816.897,135299789.179,1753005088.974
1.152,3814900.486,1589543979.702,2347359.056,1888304878.152
-2.999,-632224741.904,1593358880.187,-705674203.739,1890652237.209
2.829,1846712951.98,961134138.283,2152385165.927,1184978033.47
1.818,44676715.831,2807847090.263,71313245.627,3337363199.397
2.526,109640469.612,2852523806.094,120767499.907,3408676445.023
0.366,-55024850.026,2962164275.706,-32148665.667,3529443944.93
1.235,-4904124.051,2907139425.68,-19608983.956,3497295279.263
1.888,66081625.569,2902235301.629,62374806.147,3477686295.308
-1.029,-1132143109.476,2968316927.198,-1303923894.312,3540061101.455
0.987,144767545.423,1836173817.722,142597852.914,2236137207.143
-2.329,-988343660.513,1980941363.145,-1160530206.729,2378735060.057
1.089,241612125.38,992597702.633,257287223.279,1218204853.328
-0.802,-48849033.821,1234209828.013,-63197344.82,1475492076.608
1.639,775759986.334,1185360794.192,911908357.078,1412294731.788
1.743,204930907.965,1961120780.526,251655960.127,2324203088.866
2.674,635578860.488,2166051688.491,725955710.945,2575859048.993
-2.396,-1815293779.084,2801630548.98,-2093822684.365,3301814759.937
-2.511,-18202896.343,986336769.895,-25039603.645,1207992075.572
0.497,31141651.692,968133873.552,2422373.233,1182952471.927
-1.537,-24951401.71,999275525.244,-8208343.788,1185374845.16
1.588,876145872.714,974324123.535,1020752838.284,1177166501.373
1.277,-1419968.813,1850469996.248,5286765.868,2197919339.657
-0.482,-31693454.352,1849050027.435,-25901673.73,2203206105.525
-0.862,-279014551.964,1817356573.083,-335050212.687,2177304431.794
-1.717,-545337736.306,1538342021.12,-634720537.22,1842254219.108
1.336,522560566.206,993004284.813,582675307.109,1207533681.888
0.894,-9189115.72,1515564851.02,-6077323.649,1790208988.997
-2.573,-544025290.573,1506375735.3,-605924954.872,1784131665.349
1.253,412607447.188,962350444.726,442591370.499,1178206710.476
-2.408,-415541217.253,1374957891.915,-448392979.84,1620798080.975
-1.041,22510947.453,959416674.662,-772665.662,1172405101.135
2.093,1375339833.451,981927622.115,1623066858.377,1171632435.472
2.125,198128742.644,2357267455.566,259013218.967,2794699293.849
-2.498,-1582333019.65,2555396198.209,-1863930361.928,3053712512.816
-0.394,34242304.456,973063178.56,3499672.446,1189782150.888
1.249,360880097.677,1007305483.016,420506383.101,1193281823.335
-1.7,-390312405.954,1368185580.692,-429883392.383,1613788206.436
2.673,1618549863.063,977873174.739,1909984676.855,1183904814.053
-0.15,-59795724.794,2596423037.802,-44483781.963,3093889490.908
-2.57,-1563644610.208,2536627313.008,-1859350996.179,3049405708.945
-0.677,31207279.903,972982702.8,4278177.669,1190054712.765
-2.743,-44167710.186,1004189982.703,-24814059.72,1194332890.435
1.348,532069640.345,960022272.517,596888777.556,1169518830.715
1.404,117118564.225,1492091912.862,137148710.822,1766407608.271
1.245,-154711.236,1609210477.087,221966.888,1903556319.093
-0.065,-11222427.857,1609055765.85,-8356298.707,1903778285.981
-2.023,-623480734.402,1597833337.994,-711447087.542,1895421987.274
-1.074,15094938.373,974352603.592,154217.707,1183974899.732
1.444,582885682.615,989447541.965,672223530.161,1184129117.439
-1.647,-585568210.334,1572333224.58,-661573831.028,1856352647.6
-2.489,-27865830.509,986765014.246,-27747452.604,1194778816.572
2.2,1394174872.21,958899183.737,1653944566.76,1167031363.968
-2.994,-1388228214.191,2353074055.947,-1637557983.012,2820975930.728
-1.749,-1603181.665,964845841.756,-13351751.222,1183417947.717
1.181,304931866.087,963242660.091,333761043.832,1170066196.495
-0.891,-119633747.238,1268174526.178,-128330342.072,1503827240.327
-2.186,-186343119.486,1148540778.94,-205916514.457,1375496898.254
2.806,1623251433.053,962197659.454,1896197411.693,1169580383.798
-0.069,-71465056.306,2585449092.507,-45973161.752,3065777795.491
2.147,194158739.794,2513984036.201,206394685.694,3019804633.739
-1.856,-1703773770.823,2708142775.995,-2000727895.895,3226199319.433
-2.08,-30291639.078,1004369005.173,-36520345.903,1225471423.538
-1.977,170818.759,974077366.095,-3913363.81,1188951077.636
-1.288,9096415.97,974248184.854,-389569.132,1185037713.825
1.181,288551892.24,983344600.824,321869426.951,1184648144.693
0.834,1672492.985,1271896493.063,1073147.627,1506517571.644
-0.876,-109715934.134,1273568986.048,-118113232.281,1507590719.272
2.214,1258391387.673,1163853051.914,1475956708.671,1389477486.991
-1.53,-1376260364.694,2422244439.586,-1589427585.948,2865434195.662
1.038,193353746.909,1045984074.892,200024490.261,1276006609.714
2.617,1315261958.63,1239337821.802,1540819519.158,1476031099.975
-1.272,-1340985454.929,2554599780.432,-1545905463.323,3016850619.133
-1.553,-164612843.789,1213614325.503,-192450710.868,1470945155.81
2.678,1526152786.121,1049001481.715,1784128538.513,1278494444.942
0.206,-52368784.7,2575154267.835,-41178279.669,3062622983.454
-2.821,-1552069555.871,2522785483.135,-1830553828.093,3021444703.785
-0.924,23544703.246,970715927.264,-6540876.58,1190890875.692
0.67,16263983.343,994260630.51,15536011.717,1184349999.112
-0.159,976149.83,1010524613.853,1491969.715,1199886010.829
2.509,1472636467.51,1011500763.683,1755557215.265,1201377980.544
0.732,-66187338.369,2484137231.193,-53564454.962,2956935195.808
-1.398,-1321855277.937,2417949892.824,-1569912951.452,2903370740.846
2.333,1394266132.545,1096094614.887,1644339013.197,1333457789.394
0.226,-51705129.501,2490360747.432,-41491144.917,2977796802.591
2.976,262229462.11,2438655617.931,273524125.053,2936305657.674
0.444,-57924012.179,2700885080.041,-35974731.1,3209829782.727
2.043,72838025.468,2642961067.862,59168342.531,3173855051.627
1.654,-24260818.647,2715799093.33,-12603354.772,3233023394.157
-1.944,-1682316510.816,2691538274.684,-1986677298.805,3220420039.386
2.922,1559793217.986,1009221763.867,1815593228.395,1233742740.581
1.161,-37582501.17,2569014981.853,-5288603.599,3049335968.976
-1.798,-1516054582.414,2531432480.684,-1806737524.433,3044047365.377
2.084,1362111556.079,1015377898.269,1592653242.188,1237309840.944
-0.416,-29875979.517,2377489454.348,-39130410.295,2829963083.132
-2.026,-1351334576.517,2347613474.832,-1577144699.877,2790832672.836
2.938,1585217323.988,996278898.315,1854752047.477,1213687972.959
0.374,-47966540.419,2581496222.303,-24404237.795,3068440020.436
-1.643,-1488488402.753,2533529681.884,-1767145266.426,3044035782.641
-1.173,4337226.45,1045041279.131,-9925056.861,1276890516.215
0.499,16824718.085,1049378505.58,2001633.157,1266965459.354
-0.37,804885.596,1066203223.665,708917.913,1268967092.511
-1.53,-37958025.394,1067008109.262,-21267730.98,1269676010.424
2.649,1486035715.141,1029050083.868,1750292533.429,1248408279.444
-1.496,-1434095287.402,2515085799.008,-1684312200.736,2998700812.873
2.68,1472510114.321,1080990511.606,1731188448.577,1314388612.137
2.94,152063027.531,2553500625.927,187605741.017,3045577060.714
-0.716,-301846063.834,2705563653.458,-332647943.103,3233182801.731
1.629,161022871.465,2403717589.624,179159943.617,2900534858.628
-2.316,-1583845836.146,2564740461.089,-1877735608.76,3079694802.245
1.783,1118003348.676,980894624.943,1290692158.747,1201959193.485
2.808,542951162.265,2098897973.619,650972161.129,2492651352.232
-0.721,-247053983.668,2641849135.884,-259584936.461,3143623513.361
-0.923,-496360459.082,2394795152.216,-574348387.194,2884038576.9
2.713,743911816.26,1898434693.135,844204910.166,2309690189.706
