V,Rinit,Rfinal,dR,dw,w
-2.393,1113622949.542,1108595215.858,-5027733.684,0.006502544933496446,0.9912421218003825
-1.066,1108595215.857,1110611336.0100002,2016120.153,-0.0026145898911662524,0.9977446667351779
1.321,1110611336.01,1579042942.073,468431606.063,-0.4264934996501345,0.995130076844012
2.501,1579042942.073,3356608616.918,1777565674.845,-0.5354923592097377,0.5686365771938775
0.428,3356608616.918,3297068329.269,-59540287.649,0.008590225106129716,0.033144217984139815
-0.918,3297068329.268,2368812218.333,-928256110.935,0.18977172434787848,0.041734443090416386
-2.627,2368812218.333,1183603540.1580002,-1185208678.175,0.674963365802957,0.23150616743829486
0.275,1183603540.158,1189492027.429,5888487.271,-0.006678181506260317,0.9064695332412522
2.047,1189492027.43,2966052051.248,1776560023.818,-0.8040107409737864,0.8997913517338633
-1.825,2966052051.247,1214572440.1360002,-1751479611.111,0.776292096394174,0.0957806107602583
0.008,1214572440.137,1216286070.484,1713630.347,-0.0018521674949985023,0.87207270715335
2.714,1216286070.484,3345866391.191,2129580320.707,-0.8355490818389485,0.8702205396583514
-0.363,3345866391.19,3294982483.0490003,-50883908.141,0.007369550925226204,0.03467145781954559
0.608,3294982483.049,3258331962.1179996,-36650520.931,0.005450721367381818,0.042041008744771874
-1.591,3258331962.119,1285338783.17,-1972993178.949,0.7522027420852248,0.04749173011200321
-0.153,1285338783.17,1287088252.424,1749469.254,-0.0016885061431113346,0.799694472197228
1.135,1287088252.424,1621683201.754,334594949.33,-0.25595717341628177,0.7980059660541167
-2.236,1621683201.754,1191909319.539,-429773882.215,0.3550201922178957,0.5420487926378349
0.423,1191909319.539,1194903735.568,2994416.029,-0.003357053584905345,0.8970689848557306
2.469,1194903735.568,3122801840.267,1927898104.699,-0.8249526080624009,0.8937119312708253
-2.861,3122801840.267,1188802667.673,-1933999172.594,0.8318104178827457,0.06875932320842436
-0.402,1188802667.673,1192776545.242,3973877.569,-0.004474740866389992,0.90056974109117
2.79,1192776545.242,3295446681.32,2102670136.078,-0.8541222502389775,0.8960950002247801
-2.408,3295446681.32,1188753205.9180002,-2106693475.402,0.858652875470137,0.04197274998580256
0.483,1188753205.919,1194101140.3669999,5347934.448,-0.006015552618753195,0.9006256254548103
-2.484,1194101140.367,1167877755.9,-26223384.467,0.03002427377259731,0.8946100728360571
-0.328,1167877755.9,1171627630.964,3749875.064,-0.004375745707513534,0.9246343466086544
1.28,1171627630.963,1668024021.214,496396390.251,-0.40556360778252964,0.9202586009023042
-0.638,1668024021.214,1621072647.56,-46951373.654,0.02772463219118515,0.5146949931197745
0.155,1621072647.56,1619502043.609,-1570603.951,0.000955223451619247,0.5424196253109597
2.101,1619502043.609,2930323500.388,1310821456.779,-0.44103061944181515,0.5433748487625789
1.246,2930323500.389,2905177898.569,-25145601.82,0.0047162411537962495,0.10234422932057777
-0.246,2905177898.569,2889016968.6419997,-16160929.927,0.003074438372029975,0.10706047047437402
0.491,2889016968.641,2877426659.7889996,-11590308.852,0.002226193560370432,0.11013490884659534
1.719,2877426659.79,2984900878.904,107474219.114,-0.019979857678388044,0.11236110240677277
-1.222,2984900878.904,1507960144.613,-1476940734.291,0.5239207032805466,0.09238124472838473
0.745,1507960144.613,1546407694.924,38447550.311,-0.026325527218859057,0.6163019480089313
-1.997,1546407694.925,1205178652.671,-341229042.254,0.2923430836906442,0.5899764207894047
0.198,1205178652.671,1211518389.941,6339737.27,-0.00693285453738457,0.8823195044800489
1.415,1211518389.941,1890816681.5419998,679298291.601,-0.47348187131133324,0.8753866499426644
-0.137,1890816681.541,1879812319.5379999,-11004362.003,0.004943371176324485,0.4019047786317777
2.646,1879812319.538,3186590825.8050003,1306778506.267,-0.3483240478798141,0.4068481498081022
1.744,3186590825.805,3248715133.165,62124307.36,-0.009581773394510586,0.05852410192828822
2.846,3248715133.165,3480951796.65,232236663.485,-0.03279015062031313,0.04894232853377763
0.931,3480951796.65,3452722730.828,-28229065.822,0.003750240003341468,0.016152177913464502
2.363,3452722730.827,3509646262.7530003,56923531.926,-0.007500480006802056,0.019902417916939863
2.934,3509646262.753,3608001464.8479996,98355202.095,-0.012401937910015141,0.012401937910137807
1.107,3608001464.849,3569675605.73,-38325859.119,0.0047513684683265995,0.0
-2.775,3569675605.729,1210258148.0630002,-2359417457.666,0.8720076417867549,0.004751368468451906
-1.355,1210258148.063,1193253345.5839999,-17004802.479,0.018801096770641346,0.8767590102552069
1.305,1193253345.584,1758353829.145,565100483.561,-0.43004016089867086,0.8955601070258479
0.723,1758353829.145,1753005088.974,-5348740.171,0.002770666935776045,0.465519946127177
1.361,1753005088.974,1888304878.1529999,135299789.179,-0.0652625587135981,0.46829061306295305
1.152,1888304878.152,1890652237.208,2347359.056,-0.001049827696357697,0.4030280543498027
-2.999,1890652237.209,1184978033.4700003,-705674203.739,0.5029265443936362,0.40197822665299826
2.829,1184978033.47,3337363199.3970003,2152385165.927,-0.869017429134559,0.9049047710466347
1.818,3337363199.397,3408676445.0239997,71313245.627,-0.010009288779706405,0.03588734191207568
2.526,3408676445.023,3529443944.93,120767499.907,-0.016028034790408194,0.025878053132506636
0.366,3529443944.93,3497295279.263,-32148665.667,0.004158595035190501,0.009850018342098444
1.235,3497295279.263,3477686295.307,-19608983.956,0.0025742733137014365,0.014008613377288944
1.888,3477686295.308,3540061101.455,62374806.147,-0.008089660873726794,0.016582886690858386
-1.029,3540061101.455,2236137207.1429996,-1303923894.312,0.26300578842237116,0.008493225817131592
0.987,2236137207.143,2378735060.057,142597852.914,-0.042804628662266586,0.27149901423950257
-2.329,2378735060.057,1218204853.328,-1160530206.729,0.6394584326107705,0.22869438557723598
1.089,1218204853.328,1475492076.607,257287223.279,-0.2285510821004516,0.8681528181880065
-0.802,1475492076.608,1412294731.788,-63197344.82,0.04842380146994618,0.6396017360868216
1.639,1412294731.788,2324203088.866,911908357.078,-0.44358213983553474,0.6880255375567678
1.743,2324203088.866,2575859048.993,251655960.127,-0.0671171212526532,0.24444339772123302
2.674,2575859048.993,3301814759.938,725955710.945,-0.13628799288504223,0.17732627646857982
-2.396,3301814759.937,1207992075.5719998,-2093822684.365,0.8381956056519373,0.041038283583684124
-2.511,1207992075.572,1182952471.927,-25039603.645,0.02797810769960729,0.8792338892356211
0.497,1182952471.927,1185374845.16,2422373.233,-0.0027582925406722802,0.9072119969352284
-1.537,1185374845.16,1177166501.372,-8208343.788,0.009392564905226775,0.9044537043945561
1.588,1177166501.373,2197919339.657,1020752838.284,-0.6299313460579731,0.9138462692986309
1.277,2197919339.657,2203206105.525,5286765.868,-0.0017431929851903227,0.2839149232406578
-0.482,2203206105.525,2177304431.795,-25901673.73,0.008621360680317325,0.2821717302554675
-0.862,2177304431.794,1842254219.107,-335050212.687,0.13337162742857506,0.2907930909361216
-1.717,1842254219.108,1207533681.888,-634720537.22,0.4555709326259128,0.42416471836422626
1.336,1207533681.888,1790208988.997,582675307.109,-0.43037387038673774,0.8797356509901391
0.894,1790208988.997,1784131665.348,-6077323.649,0.003038113535603182,0.4493617806034013
-2.573,1784131665.349,1178206710.477,-605924954.872,0.46024885307219837,0.45239989413850296
1.253,1178206710.476,1620798080.9750001,442591370.499,-0.3700622671567846,0.9126487472118514
-2.408,1620798080.975,1172405101.135,-448392979.84,0.37676839084480374,0.5425864800550669
-1.041,1172405101.135,1171632435.473,-772665.662,0.0008981415651786451,0.9193548708998707
2.093,1171632435.472,2794699293.849,1623066858.377,-0.7914658987618848,0.9202530124662126
2.125,2794699293.849,3053712512.816,259013218.967,-0.04845972713263723,0.12878711370432783
-2.498,3053712512.816,1189782150.888,-1863930361.928,0.8191366424588603,0.0803273865716906
-0.394,1189782150.888,1193281823.334,3499672.446,-0.003935855926404885,0.8994640290305509
1.249,1193281823.335,1613788206.436,420506383.101,-0.34866254745619474,0.8955281731030247
-1.7,1613788206.436,1183904814.053,-429883392.383,0.359260617929126,0.54686562564683
2.673,1183904814.053,3093889490.908,1909984676.855,-0.8325888072392049,0.906126243575956
-0.15,3093889490.908,3049405708.945,-44483781.963,0.007528422188746012,0.07353743633675103
-2.57,3049405708.945,1190054712.7660003,-1859350996.179,0.8180908065017987,0.08106585852549704
-0.677,1190054712.765,1194332890.434,4278177.669,-0.004806055309828028,0.8991566650284234
-2.743,1194332890.435,1169518830.715,-24814059.72,0.028365306507960653,0.894350609717476
1.348,1169518830.715,1766407608.271,596888777.556,-0.4613362031282268,0.9227159162254367
1.404,1766407608.271,1903556319.093,137148710.822,-0.06512644036938686,0.4613797130972099
1.245,1903556319.093,1903778285.981,221966.888,-9.779763727507662e-05,0.396253272727823
-0.065,1903778285.981,1895421987.274,-8356298.707,0.0036975490316829007,0.39615547509054794
-2.023,1895421987.274,1183974899.7319999,-711447087.542,0.5061933846481055,0.39985302412223084
-1.074,1183974899.732,1184129117.4390001,154217.707,-0.00017563657298580448,0.9060464087703359
1.444,1184129117.439,1856352647.6,672223530.161,-0.48828843357287655,0.9058707721973505
-1.647,1856352647.6,1194778816.572,-661573831.028,0.4762693035562885,0.4175823386244739
-2.489,1194778816.572,1167031363.968,-27747452.604,0.0317742527166085,0.8938516421807624
2.2,1167031363.968,2820975930.7279997,1653944566.76,-0.8021605693490356,0.9256258948973709
-2.994,2820975930.728,1183417947.716,-1637557983.012,0.7832157699288027,0.12346532554833527
-1.749,1183417947.717,1170066196.4950001,-13351751.222,0.015396142302873006,0.9066810954759981
1.181,1170066196.495,1503827240.327,333761043.832,-0.3028653110983368,0.9220772377788714
-0.891,1503827240.327,1375496898.2549999,-128330342.072,0.09905902706094816,0.6192119266805346
-2.186,1375496898.254,1169580383.797,-205916514.457,0.20437311115872436,0.7182709537423266
2.806,1169580383.798,3065777795.491,1896197411.693,-0.8443744204481775,0.9226440648998835
-0.069,3065777795.491,3019804633.7390003,-45973161.752,0.007928793739997234,0.07826964445170599
2.147,3019804633.739,3226199319.4329996,206394685.694,-0.033826007225817065,0.08619843819170331
-1.856,3226199319.433,1225471423.538,-2000727895.895,0.8080084688756816,0.052372430965886244
-2.08,1225471423.538,1188951077.6350002,-36520345.903,0.040021188157772114,0.8603808998415678
-1.977,1188951077.636,1185037713.826,-3913363.81,0.004434823462951654,0.9004020879982111
-1.288,1185037713.825,1184648144.693,-389569.132,0.0004430831719378636,0.9048369114622996
1.181,1184648144.693,1506517571.644,321869426.951,-0.2879641445914315,0.9052799946342375
0.834,1506517571.644,1507590719.2710001,1073147.627,-0.0007544389148522734,0.617315850042806
-0.876,1507590719.272,1389477486.9910002,-118113232.281,0.09002971052324626,0.6165614111272513
2.214,1389477486.991,2865434195.6619997,1475956708.671,-0.5919076247423793,0.7065911216504978
-1.53,2865434195.662,1276006609.7140002,-1589427585.948,0.6940961761918464,0.11468349690811828
1.038,1276006609.714,1476031099.975,200024490.261,-0.16957311930141739,0.808779673099965
2.617,1476031099.975,3016850619.133,1540819519.158,-0.5524903868911124,0.6392065537985476
-1.272,3016850619.133,1470945155.81,-1545905463.323,0.5562306475434649,0.08671616690743517
-1.553,1470945155.81,1278494444.942,-192450710.868,0.16339789707097474,0.6429468144509
2.678,1278494444.942,3062622983.455,1784128538.513,-0.7275385771752271,0.8063447115218747
0.206,3062622983.454,3021444703.785,-41178279.669,0.007105297717945047,0.07880613434681782
-2.821,3021444703.785,1190890875.692,-1830553828.093,0.8123031822543272,0.08591143206476287
-0.924,1190890875.692,1184349999.112,-6540876.58,0.007404678239668394,0.8982146143190901
0.67,1184349999.112,1199886010.829,15536011.717,-0.017455880292215786,0.9056192925587585
-0.159,1199886010.829,1201377980.544,1491969.715,-0.0016525804807864253,0.8881634122665427
2.509,1201377980.544,2956935195.809,1755557215.265,-0.7890704554127244,0.8865108317857563
0.732,2956935195.808,2903370740.846,-53564454.962,0.009962186244141191,0.0974403763732146
-1.398,2903370740.846,1333457789.3940003,-1569912951.452,0.6474646661120247,0.10740256261735578
2.333,1333457789.394,2977796802.591,1644339013.197,-0.6612098246300363,0.7548672287293808
0.226,2977796802.591,2936305657.6740003,-41491144.917,0.007576722246330048,0.09365740409934452
2.976,2936305657.674,3209829782.7269998,273524125.053,-0.046337717993895314,0.10123412634567465
