# pulseAmplitude,deltaCpos (at 0.65 V),CposInitial
-7.500000000000000000e-01,1.032448919117759421e-13,1.308736912980706814e-12
-7.500000000000000000e-01,-1.192583150341347262e-14,1.205492021068930872e-12
-7.500000000000000000e-01,1.824628502619533591e-14,1.217417852572344345e-12
-7.500000000000000000e-01,-8.724634234673632269e-14,1.199171567546149009e-12
-7.500000000000000000e-01,5.848644895799987217e-14,1.286417909892885332e-12
-7.500000000000000000e-01,1.613145408038874426e-14,1.227931460934885459e-12
-7.500000000000000000e-01,-1.015511411801048931e-13,1.211800006854496715e-12
-7.500000000000000000e-01,2.454561978913880519e-14,1.313351148034601608e-12
-7.500000000000000000e-01,-2.267769167046889104e-14,1.288805528245462803e-12
-7.500000000000000000e-01,1.099484315678617746e-13,1.311483219915931694e-12
-7.500000000000000000e-01,-4.646079407726346737e-15,1.201534788348069920e-12
-7.500000000000000000e-01,-6.856115674490394138e-14,1.206180867755796266e-12
-7.500000000000000000e-01,4.621476646762167391e-14,1.274742024500700208e-12
-7.500000000000000000e-01,-4.894472888865713456e-14,1.228527258033078534e-12
-7.500000000000000000e-01,1.023402341855550209e-13,1.277471986921735668e-12
-7.500000000000000000e-01,-1.188920821846519942e-13,1.175131752736180647e-12
-7.500000000000000000e-01,9.939164459051726749e-14,1.294023834920832642e-12
-7.500000000000000000e-01,1.960799507462393740e-14,1.194632190330315374e-12
-7.500000000000000000e-01,-1.081823339839054158e-14,1.175024195255691437e-12
-8.060000000000000497e-01,-8.383368717744536842e-14,1.185842428654081978e-12
-8.060000000000000497e-01,5.660913607470177252e-14,1.269676115831527347e-12
-8.060000000000000497e-01,-9.859413515741163341e-14,1.213066979756825574e-12
-8.060000000000000497e-01,7.844164048479152800e-15,1.311661114914237208e-12
-8.060000000000000497e-01,8.956059573202613941e-14,1.303816950865758055e-12
-8.060000000000000497e-01,-6.768694848981654113e-14,1.214256355133731915e-12
-8.060000000000000497e-01,-3.810454241503712702e-14,1.281943303623548457e-12
-8.060000000000000497e-01,9.851181141085535418e-14,1.320047846038585584e-12
-8.060000000000000497e-01,-8.869616248729221752e-14,1.221536034627730229e-12
-8.060000000000000497e-01,3.459405666040505101e-15,1.310232197115022447e-12
-8.060000000000000497e-01,1.240130303787973913e-13,1.306772791448981942e-12
-8.060000000000000497e-01,-8.955555474896358140e-14,1.182759761070184551e-12
-8.060000000000000497e-01,5.283061105652887417e-15,1.272315315819148132e-12
-8.060000000000000497e-01,1.124471079566296453e-14,1.267032254713495245e-12
-8.060000000000000497e-01,-3.228949101762065729e-14,1.255787543917832280e-12
-8.060000000000000497e-01,-7.513298219030383013e-15,1.288077034935452937e-12
-8.060000000000000497e-01,9.830288429179750915e-14,1.295590333154483320e-12
-8.060000000000000497e-01,-9.749218874352031712e-14,1.197287448862685811e-12
-8.060000000000000497e-01,9.554148837448607944e-15,1.294779637606206128e-12
-8.060000000000000497e-01,4.753098652910288008e-14,1.285225488768757520e-12
-8.619999999999999885e-01,-5.181507517652799628e-14,1.237694502239654640e-12
-8.619999999999999885e-01,1.084904711805498114e-13,1.289509577416182637e-12
-8.619999999999999885e-01,-1.248919851982467795e-13,1.181019106235632825e-12
-8.619999999999999885e-01,6.143673212605991856e-16,1.305911091433879605e-12
-8.619999999999999885e-01,9.511275885576873625e-14,1.305296724112619005e-12
-8.619999999999999885e-01,-6.150796575341448329e-14,1.210183965256850269e-12
-8.619999999999999885e-01,6.280279889687255684e-14,1.271691931010264753e-12
-8.619999999999999885e-01,-1.071497258715275157e-13,1.208889132113392196e-12
-8.619999999999999885e-01,3.221208544271287295e-14,1.316038857984919711e-12
-8.619999999999999885e-01,8.106088952609264548e-14,1.283826772542206838e-12
-8.619999999999999885e-01,-1.000654349555564772e-13,1.202765883016114193e-12
-8.619999999999999885e-01,1.323382280928374028e-13,1.302831317971670670e-12
-8.619999999999999885e-01,-1.201097672475999394e-13,1.170493089878833267e-12
-8.619999999999999885e-01,3.102434284989934356e-15,1.290602857126433207e-12
-8.619999999999999885e-01,4.613007509546703214e-15,1.287500422841443272e-12
-8.619999999999999885e-01,-1.370844623184623391e-14,1.282887415331896569e-12
-8.619999999999999885e-01,4.823714704351611146e-15,1.296595861563742803e-12
-8.619999999999999885e-01,1.141531311727523808e-13,1.291772146859391192e-12
-8.619999999999999885e-01,-1.130554286921785318e-13,1.177619015686638811e-12
-8.619999999999999885e-01,9.772708584114982921e-14,1.290674444378817343e-12
-9.180000000000000382e-01,-7.999603774713010050e-14,1.192947358537667514e-12
-9.180000000000000382e-01,-1.014040890053248154e-14,1.272943396284797614e-12
-9.180000000000000382e-01,8.583406735403373625e-14,1.283083805185330096e-12
-9.180000000000000382e-01,-9.201773888583484323e-14,1.197249737831296359e-12
-9.180000000000000382e-01,6.892766056108021665e-14,1.289267476717131203e-12
-9.180000000000000382e-01,-7.556198249818148152e-15,1.220339816156050986e-12
-9.180000000000000382e-01,2.714332656906743769e-14,1.227896014405869134e-12
-9.180000000000000382e-01,-4.982935803855980145e-15,1.200752687836801697e-12
-9.180000000000000382e-01,3.003687856085860661e-14,1.205735623640657677e-12
-9.180000000000000382e-01,4.113921756716617418e-15,1.175698745079799070e-12
-9.180000000000000382e-01,-1.114637575009615973e-13,1.171584823323082453e-12
-9.180000000000000382e-01,-1.041190247696835211e-14,1.283048580824044050e-12
-9.180000000000000382e-01,1.027267383213730234e-13,1.293460483301012402e-12
-9.180000000000000382e-01,-9.335513093480534647e-14,1.190733744979639379e-12
-9.180000000000000382e-01,1.084954151812170675e-13,1.284088875914444725e-12
-9.180000000000000382e-01,-1.374416920392251342e-14,1.175593460733227658e-12
-9.180000000000000382e-01,-9.181748672596036002e-14,1.189337629937150171e-12
-9.180000000000000382e-01,8.445200323388244824e-14,1.281155116663110531e-12
-9.180000000000000382e-01,-9.864365506041892115e-14,1.196703113429228083e-12
-9.180000000000000382e-01,1.169688620979655897e-13,1.295346768489647004e-12
-9.739999999999999769e-01,-2.791768869799827383e-14,1.178377906391681414e-12
-9.739999999999999769e-01,-1.117181301919283421e-14,1.206295595089679688e-12
-9.739999999999999769e-01,1.704222349596831771e-14,1.217467408108872522e-12
